pressure,8.26ang,8.26Er
.41,0.0001655925,0.0001611482 
2.07,0.0008524428,0.0005025073 
4.15,0.0017716097,0.0011379540 
20.78,0.0089828194,0.0027924068 
41.57,0.0171892607,0.0045452199 
83.14,0.2982527845,1.0124267926 
166.28,39.1496974221,1.3886926378 
249.42,39.4777043996,2.1822835545 
332.56,42.6372907446,1.4122560006 
415.70,42.9996446672,0.0020000128 
831.40,42.9548247831,0.0976185031 
1662.80,42.9961349715,0.0136086841 
2494.20,42.9890933625,0.0282326179 
3325.60,42.8880208545,0.3091854789 
4157.00,42.9471365391,0.1188462357 
