pressure,8.26ang,8.26Er
.41,0.0002028899,0.0001149431 
2.07,0.0006815900,0.0002615348 
4.15,0.0017403229,0.0003954263 
20.78,0.0087951444,0.0013056346 
41.57,0.0222096315,0.0266392810 
83.14,0.0511608010,0.0297866284 
166.28,39.3962958966,1.8223645656 
249.42,39.6127227870,1.2161425208 
332.56,41.7158923496,2.5169895331 
415.70,40.7512786820,1.8604346663 
831.40,41.8611340687,0.3320922078 
1662.80,42.7050326687,0.7442535721 
2494.20,42.9909662627,0.0382292518 
3325.60,42.9375639156,0.2470270700 
4157.00,42.9970496249,0.0092520026 
