pressure,8.26ang,8.26Er
.41,0.0001343027,0.0000588397 
2.07,0.0008880199,0.0004830901 
4.15,0.0016901040,0.0007209722 
20.78,0.0084250000,0.0031933352 
41.57,0.0167094713,0.0023063648 
83.14,0.0587504535,0.0687986282 
166.28,42.8432108522,0.5502305682 
249.42,41.4155974702,1.5274520547 
332.56,40.8530063520,0.4294829092 
415.70,41.9490261357,2.4939544581 
831.40,42.8954929927,0.3136424248 
1662.80,42.9915124847,0.0269076729 
2494.20,42.8785112187,0.3611004920 
3325.60,42.7637480025,0.9540663490 
4157.00,42.7609256378,0.7453435908 
