pressure,8.26ang,8.26Er
.41,0.0000556961,0.0000421488 
2.07,0.0004760510,0.0004190785 
4.15,0.0007295872,0.0003500640 
20.78,0.0042986053,0.0025827142 
41.57,0.0091355615,0.0016394418 
83.14,0.0225277743,0.0179401213 
166.28,0.0987578568,0.1166125583 
249.42,0.0714489083,0.0271154379 
332.56,48.5981334837,5.8815354278 
415.70,54.0000623826,0.0000053948 
831.40,53.5536543877,1.0756522451 
1662.80,53.9438443321,0.1404248985 
2494.20,53.7821048985,0.6141078539 
3325.60,54.0000546000,0.0017747436 
4157.00,54.0006201491,0.0000144002 
