pressure,8.26ang,8.26Er
.41,0.0124190043,0.0096442693 
2.07,0.0814006076,0.0560002350 
4.15,0.2400971998,0.2403975696 
20.78,58.9707556496,0.0834700641 
41.57,59.0004244824,0.0009796366 
83.14,59.0004394548,0.0005628230 
166.28,59.0017018526,0.0024589996 
249.42,60.0112280501,0.0229048519 
332.56,59.0113736757,0.0249320097 
415.70,59.0044384406,0.0025253804 
831.40,59.0865521032,0.1967996106 
1662.80,61.0257954086,1.2604148538 
2494.20,59.0636383362,0.0832151038 
3325.60,61.9206090350,1.5658762395 
4157.00,61.5133976799,1.0049759926 
