pressure,8.26ang,8.26Er
.41,0.0001115272,0.0000860337 
2.07,0.0005151977,0.0003117175 
4.15,0.0008900162,0.0002183914 
20.78,0.0046580116,0.0016625200 
41.57,0.0078670414,0.0024901559 
83.14,0.0187523577,0.0030022763 
166.28,0.0560612179,0.0386732811 
249.42,0.0646053425,0.0174334085 
332.56,54.0000532980,0.0000075092 
415.70,53.9976109836,0.0097973826 
831.40,53.9655245755,0.0872732122 
1662.80,53.9328009218,0.1702522555 
2494.20,54.0241896908,0.0825242559 
3325.60,53.9946160601,0.0128589206 
4157.00,53.9994665057,0.0033397538 
