pressure,8.26ang,8.26Er
.41,0.0029045351,0.0029386683 
2.07,0.0081128021,0.0016977578 
4.15,0.1719687799,0.5946629442 
20.78,59.0176247932,0.0702531161 
41.57,58.9275583285,0.2904700028 
83.14,59.0151336843,0.0528022108 
166.28,59.0025625374,0.0062477942 
249.42,59.0276089997,0.0777785823 
332.56,59.0131520268,0.0116403120 
415.70,59.2367933782,0.6655818020 
831.40,59.0045238169,0.0052681266 
1662.80,59.1267646219,0.2712167304 
2494.20,59.3815292633,0.4093265023 
3325.60,60.1797049297,0.1886861896 
4157.00,60.9190430720,0.7915917796 
