pressure,8.26ang,8.26Er
.41,0.0003433393,0.0002187268 
2.07,0.0012008397,0.0005513422 
4.15,0.0029433423,0.0015027852 
20.78,0.0257566631,0.0271178047 
41.57,53.9180188487,0.2149522480 
83.14,53.7411547374,1.0332224268 
166.28,53.8157044370,0.4730838774 
249.42,53.9998239175,0.0008820307 
332.56,54.0001164576,0.0002280259 
415.70,53.9994324177,0.0025635614 
831.40,54.0001494392,0.0000019073 
1662.80,54.0143291228,0.0556572241 
2494.20,54.6696139841,0.8363887080 
3325.60,54.0006002995,0.0000204095 
4157.00,54.7177967426,0.8088884041 
