pressure,8.26ang,8.26Er
.41,0.0003215392,0.0002707736 
2.07,0.0017378981,0.0005032695 
4.15,0.0045421413,0.0027423379 
20.78,50.4822689993,2.1203358237 
41.57,53.9999208380,0.0003463952 
83.14,53.9932509701,0.0279979190 
166.28,53.8815904208,0.3448957576 
249.42,54.2601895480,0.7386471405 
332.56,54.0000597842,0.0000013487 
415.70,53.0497174602,1.3253790264 
831.40,53.8457064930,0.5939394515 
1662.80,55.0129946819,0.1226816490 
2494.20,54.8686696222,1.3940100942 
3325.60,55.2012525643,0.7993053426 
4157.00,54.8660518325,1.1275226027 
