pressure,8.26ang,8.26Er
.41,0.0002640113,0.0000991778 
2.07,0.0014465904,0.0006227901 
4.15,0.0023840022,0.0008763492 
20.78,0.1505094915,0.5304054425 
41.57,54.0000081871,0.0000040461 
83.14,53.9973561773,0.0106342693 
166.28,54.3850059153,0.7544110264 
249.42,54.0000445449,0.0000013487 
332.56,54.0198054901,0.1341572362 
415.70,53.9981354770,0.0077498200 
831.40,54.0004607846,0.0012598121 
1662.80,56.1055975970,0.4305759768 
2494.20,54.0004475983,0.0000280322 
3325.60,54.5888917367,1.2831784740 
4157.00,54.9100331766,0.6863444107 
