pressure,8.26ang,8.26Er
.41,0.0002887298,0.0001885052 
2.07,0.0015984342,0.0006577651 
4.15,0.0037869348,0.0015526780 
20.78,0.0302282741,0.0424724723 
41.57,52.3781406544,1.4608093237 
83.14,53.6451170258,0.7943155350 
166.28,54.0000300175,0.0000023360 
249.42,54.0000444401,0.0000019073 
332.56,54.0965638454,0.4102826975 
415.70,54.0000734898,0.0000019073 
831.40,54.1460991393,0.7051982598 
1662.80,54.0002993617,0.0000071366 
2494.20,54.0004430020,0.0000082038 
3325.60,54.0005922384,0.0000150789 
4157.00,54.6038649175,0.8493498112 
