pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.012954,0.032760,-1.01957,0.14751 
2.07,0.082191,0.174482,-1.43876,0.89501 
4.15,0.095151,0.131795,-1.69534,0.51230 
20.78,1.210352,1.604556,-7.63515,7.38109 
41.57,1.591668,1.274534,-8.79466,3.63614 
83.14,3.890548,1.536611,-22.91912,7.85192 
166.28,5.839383,3.654413,-38.64414,15.51953 
249.42,36807.319710,19697.222720,-203785.10528,104715.98331 
332.56,58317.897766,10684.695460,-299337.42377,36448.06674 
415.70,65624.017063,698.711440,-323840.74488,2273.72483 
831.40,59543.022821,11155.581417,-301269.55575,36746.36938 
1662.80,65798.336400,951.882882,-324360.28027,5047.52121 
2494.20,65715.801995,945.519411,-325055.96463,1917.46364 
3325.60,66337.172935,1227.441618,-325310.34271,2322.02148 
4157.00,65333.355560,544.787399,-322345.42245,932.54120 
