pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1689.882398,4.250303,-0.24455,0.08274 
2.07,-1690.996248,4.210411,-0.21428,0.10050 
4.15,-1691.325435,4.417177,-0.24145,0.09340 
20.78,-1703.179754,11.715743,-0.23425,0.07901 
41.57,-1709.540479,4.190044,-0.24227,0.05331 
83.14,-1731.761885,9.722485,-0.23523,0.10698 
166.28,-1773.483090,19.166750,-0.26415,0.07020 
249.42,-84397.888237,37977.568207,-20.39713,27.59468 
332.56,-109914.229048,6545.013549,-12.75219,10.99865 
415.70,-114203.654208,334.229016,-6.50316,6.43114 
831.40,-110157.182103,6596.753217,-11.83258,26.01463 
1662.80,-114116.888278,480.022443,-9.42124,6.97394 
2494.20,-114249.041660,155.283251,-9.71415,8.17096 
3325.60,-114059.996095,310.808915,-4.25411,4.47672 
4157.00,-114375.943626,598.088638,-8.81078,18.12894 
