pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.013710,0.042619,-0.99063,0.09571 
2.07,0.103408,0.108116,-1.51929,0.65809 
4.15,0.183458,0.218070,-2.01819,0.64691 
20.78,0.828196,0.484667,-6.20380,1.24285 
41.57,1.632687,1.040164,-11.15220,4.45496 
83.14,3.480307,2.028330,-26.13204,24.03240 
166.28,7.745171,3.487943,-49.19867,21.83255 
249.42,66071.860954,1095.975181,-325642.15474,1884.04603 
332.56,63993.414235,4628.838300,-314802.97199,12193.17171 
415.70,54697.298104,8581.820525,-286033.26653,27607.25065 
831.40,65814.646591,813.627644,-318759.93805,2090.86566 
1662.80,63573.632333,3093.736242,-314242.07384,11582.31966 
2494.20,66252.133101,760.300493,-323402.58673,6192.94326 
3325.60,65902.438380,1410.597384,-319269.74244,3497.78758 
4157.00,65436.248299,764.476313,-323463.31313,3430.89733 
