pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.023873,0.052507,-1.02603,0.11395 
2.07,0.109720,0.131166,-1.60435,0.74526 
4.15,0.069430,0.099799,-1.40980,0.38548 
20.78,0.669421,0.454996,-4.65425,1.15004 
41.57,2.708942,3.952557,-15.44747,18.94522 
83.14,1.885421,0.758881,-15.30374,3.39237 
166.28,7.971580,8.171188,-58.50614,65.27311 
249.42,23.102793,39.742683,-135.79178,228.26566 
332.56,65165.932594,2569.381002,-322454.74973,9497.02516 
415.70,51684.332575,3427.944521,-272524.02745,17590.00641 
831.40,65034.532016,3782.731703,-320579.88095,9776.17241 
1662.80,64042.520857,4096.584458,-311262.18584,10991.09720 
2494.20,67012.585769,287.223167,-324443.96847,1403.10751 
3325.60,66109.154757,1329.875652,-325080.40012,2699.08379 
4157.00,67258.649325,2225.014697,-323571.50287,4071.85469 
