pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1741.474640,8.777214,-687.87017,9.89960 
2.07,-1751.494417,10.221383,-698.08100,24.39391 
4.15,-1750.293863,8.019960,-691.05573,22.22902 
20.78,-1833.196263,132.887418,-739.72266,113.02569 
41.57,-1874.706332,52.144425,-785.74148,62.73689 
83.14,-115129.446542,1305.316347,-53830.70563,1505.45187 
166.28,-115466.514068,1665.614761,-56504.25085,755.56803 
249.42,-115835.831870,411.870414,-57067.78850,361.42676 
332.56,-116215.930122,393.219327,-56229.52619,444.85133 
415.70,-115366.029322,395.213096,-56147.09398,893.39114 
831.40,-115816.964265,1264.446438,-54278.33440,1948.73100 
1662.80,-115795.554256,323.595346,-57056.99202,399.63218 
2494.20,-116970.641582,434.609742,-52262.90009,535.83545 
3325.60,-115212.557495,396.992274,-57156.27565,367.90240 
4157.00,-116657.886846,513.659282,-53829.15182,334.61925 
