pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1694.140736,3.269929,-22.19206,0.81694 
2.07,-1693.663912,0.649937,-22.88435,0.96615 
4.15,-1695.269628,3.477959,-23.41305,0.96032 
20.78,-1704.603551,2.019260,-23.12420,1.42307 
41.57,-1716.647794,4.617224,-22.69424,1.35290 
83.14,-1737.894565,11.765845,-23.99620,2.17400 
166.28,-2053.272397,1022.161291,-35.80105,38.24616 
249.42,-96255.618431,6750.770418,-2845.49451,760.81192 
332.56,-101806.691809,3598.976132,-2054.51361,595.32093 
415.70,-109056.265841,6343.000033,-1316.48631,453.62728 
831.40,-111826.947188,4113.128196,-1433.52562,1398.08904 
1662.80,-113331.385444,1295.184400,-868.78393,113.47038 
2494.20,-114116.904842,1431.887152,-1378.05177,999.85579 
3325.60,-113908.128675,256.527696,-819.28782,164.95521 
4157.00,-112256.014808,2565.570973,-1398.60730,1098.32262 
