pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1689.632957,3.637834,-0.00542,0.02061 
2.07,-1689.109846,2.006336,-0.00761,0.00501 
4.15,-1690.414944,3.136997,-0.01593,0.02430 
20.78,-1700.407290,7.201237,0.00314,0.01692 
41.57,-1708.885521,6.529175,-0.00739,0.00579 
83.14,-1734.009200,15.393160,-0.00257,0.02839 
166.28,-1782.447977,43.354705,-0.00591,0.02756 
249.42,-2267.511674,1550.721615,0.00291,0.10058 
332.56,-113332.372824,3372.647475,1.21913,2.17762 
415.70,-114082.406982,123.446137,0.37207,3.73849 
831.40,-113562.406651,1299.137306,1.48346,5.61120 
1662.80,-114037.266416,232.945883,0.46336,2.47364 
2494.20,-114227.525539,1410.396996,1.73570,3.25957 
3325.60,-112265.809480,3414.252986,-2.35721,4.86996 
4157.00,-115246.568506,1633.016041,-1.30781,4.65740 
