pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,2.138255,3.325901,-15.24835,19.46838 
2.07,21.123682,38.641841,-103.34223,151.85733 
4.15,68.575848,144.897496,-402.27081,684.26496 
20.78,49261.385467,1240.844357,-314279.62435,3051.69481 
41.57,44924.442103,288.801419,-311030.26583,672.70459 
83.14,43226.587370,649.522671,-310647.09178,2069.93302 
166.28,43281.870146,653.764727,-310978.70982,926.89316 
249.42,51913.197095,683.939580,-322546.00997,1627.04559 
332.56,44102.563564,629.042329,-312270.72970,1126.27112 
415.70,45263.329732,316.827265,-311445.10166,986.52905 
831.40,47737.730181,1666.881590,-312580.71651,4249.45408 
1662.80,58204.462487,4450.328081,-323988.97292,10826.06331 
2494.20,44131.170803,2336.124502,-310070.24460,3626.35441 
3325.60,60294.097859,6701.346696,-319435.73362,19996.67123 
4157.00,56953.011862,1959.742954,-323242.30225,9742.66210 
