pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,0.027807,0.102904,-1.03371,0.32732 
2.07,0.080471,0.160504,-1.47906,0.61438 
4.15,0.130801,0.097232,-1.79408,0.56228 
20.78,1.071105,1.896553,-6.14785,5.71164 
41.57,0.580089,0.657904,-6.20918,5.68774 
83.14,2.962811,2.148466,-19.28081,8.33487 
166.28,17.912065,26.880566,-95.37723,121.97629 
249.42,13.405869,12.931638,-76.05631,58.64371 
332.56,66655.050500,1041.053923,-322631.67189,2277.41406 
415.70,66537.578082,402.471017,-322449.62756,2042.78770 
831.40,65701.634466,1001.238645,-323889.41191,1857.87943 
1662.80,65426.136944,443.661791,-321784.84686,1556.32205 
2494.20,65566.652284,1638.197196,-321355.93929,5083.01123 
3325.60,65716.165434,856.729044,-324961.48625,1580.22757 
4157.00,66229.334424,1108.797708,-321695.91592,2475.82978 
