pressure,vdw_energy,error_vdw,coulomb_energy,error_coulomb
.41,-1690.445718,1.853674,-0.03850,0.01019 
2.07,-1692.370071,2.618479,-0.02669,0.02112 
4.15,-1693.441023,6.291071,-0.03368,0.01941 
20.78,-1700.070696,6.857144,-0.01622,0.01076 
41.57,-1705.241738,5.633112,-0.03711,0.04762 
83.14,-1729.964956,7.808947,-0.04798,0.01625 
166.28,-1811.352706,85.223098,-0.04555,0.05809 
249.42,-1824.870238,37.022325,-0.03493,0.04751 
332.56,-114049.318342,223.834855,-1.81305,6.38379 
415.70,-113953.281739,110.747808,-1.09299,3.34767 
831.40,-114108.100897,324.194136,0.51610,2.80507 
1662.80,-114121.537273,567.305117,-0.97892,3.06036 
2494.20,-113797.482778,449.798025,-1.20789,3.16844 
3325.60,-114305.931026,361.113763,-1.62967,2.98870 
4157.00,-114003.597999,243.728055,-1.22228,4.67287 
